Hand_ID,Seed,Trials,Recommended Bid,Best Score,Second Best Score,Score Gap
1,10,1000,2,19.23,11.848,7.382
1,12,1000,2,19.975,13.731,6.2440000000000015
1,15,1000,2,19.253,11.851,7.401999999999999
1,29,1000,2,19.318,11.877,7.441000000000001
1,84,1000,2,19.213,11.89,7.323
1,10,10000,2,19.2986,11.8733,7.4253
1,12,10000,2,19.354,11.8857,7.468299999999999
1,15,10000,2,19.1882,11.8623,7.325899999999999
1,29,10000,2,19.3651,11.8813,7.483800000000002
1,84,10000,2,19.4183,11.89,7.528299999999998
2,10,1000,2,12.716,11.087,1.6289999999999996
2,12,1000,2,13.109,11.09,2.019
2,15,1000,2,12.42,11.064,1.3559999999999999
2,29,1000,2,11.652,11.037,0.6149999999999984
2,84,1000,2,12.135,11.052,1.0830000000000002
2,10,10000,2,12.2923,11.0728,1.2194999999999983
2,12,10000,2,12.3164,11.0657,1.2507000000000001
2,15,10000,2,12.5956,11.0758,1.5198
2,29,10000,2,12.1109,11.0591,1.0518
2,84,10000,2,12.4685,11.0735,1.3950000000000014
3,10,1000,4,30.854,30.813,0.04100000000000037
3,12,1000,4,31.8,31.171,0.6290000000000013
3,15,1000,4,32.266,31.163,1.102999999999998
3,29,1000,4,32.264,31.281,0.9830000000000041
3,84,1000,4,33.284,30.974,2.3099999999999987
3,10,10000,4,31.273,31.0713,0.20169999999999888
3,12,10000,4,31.3206,31.1858,0.13479999999999848
3,15,10000,4,32.0587,31.2088,0.8499000000000017
3,29,10000,4,31.7164,31.1765,0.5398999999999994
3,84,10000,4,31.3468,31.1144,0.23240000000000194
4,10,1000,3,30.937,22.557,8.380000000000003
4,12,1000,3,30.961,23.766,7.195
4,15,1000,3,30.89,23.281,7.609000000000002
4,29,1000,3,30.866,22.625,8.241
4,84,1000,3,30.877,23.11,7.7669999999999995
4,10,10000,3,30.8852,23.1122,7.773
4,12,10000,3,30.9006,23.4139,7.486699999999999
4,15,10000,3,30.9026,23.5344,7.368199999999998
4,29,10000,3,30.8727,23.2757,7.596999999999998
4,84,10000,3,30.8666,23.3565,7.510099999999998
5,10,1000,3,29.71,21.831,7.879000000000001
5,12,1000,3,29.23,21.764,7.466000000000001
5,15,1000,3,29.646,21.746,7.900000000000002
5,29,1000,3,30.279,21.869,8.41
5,84,1000,3,29.949,21.834,8.115000000000002
5,10,10000,3,29.8167,21.8254,7.9913000000000025
5,12,10000,3,30.0048,21.8287,8.176099999999998
5,15,10000,3,29.7964,21.8049,7.9914999999999985
5,29,10000,3,29.9506,21.8394,8.1112
5,84,10000,3,29.8856,21.8155,8.0701
6,10,1000,4,32.721,31.302,1.418999999999997
6,12,1000,4,32.002,30.934,1.0680000000000014
6,15,1000,4,32.271,30.966,1.3049999999999997
6,29,1000,4,31.535,30.881,0.6539999999999999
6,84,1000,4,32.045,30.917,1.1280000000000001
6,10,10000,4,32.0538,30.9902,1.063600000000001
6,12,10000,4,32.2304,30.8831,1.3473000000000042
6,15,10000,4,32.4032,30.8758,1.5273999999999965
6,29,10000,4,32.1565,30.8822,1.2743000000000002
6,84,10000,4,32.2952,30.9163,1.3789000000000016
7,10,1000,3,28.473,21.713,6.759999999999998
7,12,1000,3,28.896,21.803,7.093
7,15,1000,3,28.956,21.844,7.111999999999998
7,29,1000,3,29.129,21.8,7.329000000000001
7,84,1000,3,28.862,21.828,7.033999999999999
7,10,10000,3,29.0551,21.7468,7.308299999999999
7,12,10000,3,29.0044,21.7732,7.231200000000001
7,15,10000,3,29.1626,21.834,7.328600000000002
7,29,10000,3,29.1864,21.7664,7.419999999999998
7,84,10000,3,28.9487,21.7845,7.1641999999999975
8,10,1000,2,20.463,11.853,8.610000000000001
8,12,1000,2,20.436,11.865,8.571
8,15,1000,2,20.034,11.853,8.181
8,29,1000,2,20.508,11.898,8.61
8,84,1000,2,20.186,11.81,8.376
8,10,10000,2,20.2937,11.8553,8.438400000000001
8,12,10000,2,20.2858,11.8513,8.434499999999998
8,15,10000,2,20.1624,11.8488,8.313600000000001
8,29,10000,2,20.3274,11.8578,8.469600000000002
8,84,10000,2,20.2553,11.8598,8.395499999999998
9,10,1000,3,25.826,21.9,3.926000000000002
9,12,1000,3,25.399,21.806,3.593
9,15,1000,3,25.019,21.74,3.279
9,29,1000,3,24.931,21.89,3.0410000000000004
9,84,1000,3,25.59,21.86,3.7300000000000004
9,10,10000,3,25.8341,21.8721,3.9619999999999997
9,12,10000,3,25.2486,21.837,3.4116
9,15,10000,3,25.4993,21.8774,3.6219
9,29,10000,3,25.4865,21.8884,3.5980999999999987
9,84,10000,3,25.6101,21.8841,3.725999999999999
10,10,1000,1,7.391,-19.56,26.951
10,12,1000,1,7.241,-19.238,26.479
10,15,1000,1,7.053,-18.758,25.811
10,29,1000,1,6.875,-18.678,25.553
10,84,1000,1,7.006,-19.038,26.044
10,10,10000,1,6.986,-19.0712,26.0572
10,12,10000,1,7.034,-19.038,26.072
10,15,10000,1,7.0165,-18.9907,26.0072
10,29,10000,1,6.9322,-18.9617,25.893900000000002
10,84,10000,1,6.9471,-18.9979,25.945
