Hand_ID,Seed,Trials,Recommended Bid,Best Score,Second Best Score,Score Gap
1,61,1000,2,19.168,11.903,7.264999999999999
1,12,1000,2,19.975,13.731,6.2440000000000015
1,38,1000,2,19.303,11.842,7.461
1,29,1000,2,19.318,11.877,7.441000000000001
1,84,1000,2,19.213,11.89,7.323
1,61,10000,2,19.2001,11.8586,7.3415
1,12,10000,2,19.354,11.8857,7.468299999999999
1,38,10000,2,19.2139,11.8566,7.357299999999999
1,29,10000,2,19.3651,11.8813,7.483800000000002
1,84,10000,2,19.4183,11.89,7.528299999999998
2,61,1000,1,9.716,2.301,7.414999999999999
2,12,1000,1,10.019,3.572,6.447
2,38,1000,1,9.988,2.254,7.734
2,29,1000,1,9.976,2.574,7.402000000000001
2,84,1000,1,9.955,2.807,7.148
2,61,10000,1,9.9671,3.3634,6.6037
2,12,10000,1,9.8431,3.0043,6.838799999999999
2,38,10000,1,9.8957,2.9716,6.924099999999999
2,29,10000,1,9.882,2.8822,6.9998
2,84,10000,1,9.8763,3.1752,6.7011
3,61,1000,1,9.344,3.814,5.529999999999999
3,12,1000,1,9.565,3.971,5.593999999999999
3,38,1000,1,9.432,3.549,5.883000000000001
3,29,1000,1,9.464,3.795,5.6690000000000005
3,84,1000,1,9.515,4.177,5.338000000000001
3,61,10000,1,9.4175,4.2316,5.1859
3,12,10000,1,9.3799,3.6523,5.727599999999999
3,38,10000,1,9.531,3.9579,5.5731
3,29,10000,1,9.383,3.7724,5.610599999999999
3,84,10000,1,9.4387,3.95,5.488700000000001
4,61,1000,5,48.608,42.102,6.506
4,12,1000,5,47.797,42.262,5.534999999999997
4,38,1000,5,48.946,42.143,6.802999999999997
4,29,1000,5,48.295,42.166,6.129000000000005
4,84,1000,5,47.311,42.172,5.139000000000003
4,61,10000,5,48.3421,42.1571,6.185000000000002
4,12,10000,5,47.8879,42.1625,5.7254000000000005
4,38,10000,5,48.5324,42.1654,6.367000000000004
4,29,10000,5,48.0505,42.1347,5.915799999999997
4,84,10000,5,48.3924,42.172,6.220400000000005
5,61,1000,3,28.948,22.131,6.817
5,12,1000,3,29.646,22.18,7.466000000000001
5,38,1000,3,29.385,22.155,7.23
5,29,1000,3,29.545,22.098,7.447000000000003
5,84,1000,3,28.949,22.132,6.817
5,61,10000,3,29.499,22.1331,7.3659
5,12,10000,3,29.4632,22.1388,7.324400000000001
5,38,10000,3,29.4833,22.149,7.334299999999999
5,29,10000,3,29.4803,22.13,7.350300000000001
5,84,10000,3,29.4321,22.1429,7.2891999999999975
6,61,1000,4,40.137,31.927,8.21
6,12,1000,4,40.104,31.894,8.21
6,38,1000,4,40.473,31.947,8.526
6,29,1000,4,40.536,31.931,8.605
6,84,1000,4,40.497,31.892,8.605
6,61,10000,4,40.1914,31.9024,8.289000000000001
6,12,10000,4,40.2136,31.8851,8.328499999999998
6,38,10000,4,40.3287,31.9054,8.423299999999998
6,29,10000,4,40.2453,31.8931,8.3522
6,84,10000,4,40.3571,31.9101,8.447000000000003
7,61,1000,0,27.8,-2.686,30.486
7,12,1000,0,42.6,-4.2,46.800000000000004
7,38,1000,0,34.8,-3.423,38.223
7,29,1000,0,34.6,-3.379,37.979
7,84,1000,0,34.6,-3.373,37.973
7,61,10000,0,33.58,-3.2724,36.852399999999996
7,12,10000,0,36.48,-3.5728,40.0528
7,38,10000,0,35.46,-3.4626,38.9226
7,29,10000,0,33.42,-3.2604,36.6804
7,84,10000,0,34.7,-3.3902,38.0902
8,61,1000,1,11.008,9.595,1.4129999999999985
